번호	recipeName	ingredients
818	상추 겉절이	상추 간장 물 매실농축액 고춧가루 통깨 식초 영양부추 양파 홍고추
819	수삼 냉채	수삼 배 오이 샐러리 소스 저나트륨내채소스대추 유자청 식초 꿀
820	아시아식 채소 두부 볶음	해선장 간장 녹말 참기름 식용유 마늘 두부 그린빈 청경채 영콘 밤 땅콩 물
821	양배추 깻잎 피클	양배추 깻잎 설탕 청고추 홍고추 소스피클소스물 식초 통후추
822	얼갈이 무침	얼갈이 배추 홍고추 소스저나트륨 무침양념두부 된장 마늘 깨 참기름 사과 홍고추 물
824	오이초절임	오이 통마늘 생강 말린 홍고추 오이초절임소스 양조식초 설탕 두반장 고추기름 물 양념
825	잡채	당면 등심얇게썬것 당근 표고버섯마른것 느타리버섯 양파 호부추 도라지 달걀 간장 설탕 마늘 대파 깨소금 참기름 식용유 소스 저나트륨간장소스간장 물 설탕 식초
826	참기름 드레싱의 즉석 샐러드	상추 오이 당근 비타민 방울토마토 쑥갓 견과류 아몬드호두 소스 참기름드래싱간장 마늘 레몬즙 식초 참기름 고운고춧가루 통깨 설탕
827	고추 장떡	청고추 깻잎 애호박 홍고추 밀가루 고추자 식용유
828	호박 프리타타	달걀 돼지호박 실파 마늘 짜렐라치즈 파마산치즈 캔 토마토 타임 바질 로즈마리 오레가노 식용유
829	고구마 빠스	고구마 설탕 물 검은깨 식용유
830	검은콩 스프	콩 닭육수 토마토 큐민파우더 파슬리말린것 카엔패퍼 사워크림 두유 식용유 양파 샐러리 마늘
831	곤약 콩조림	곤약 콩 간장 설탕 마늘 마늘쫑 파프리카
832	도토리묵 콩국	곤약 서리태 마늘 마늘쫑 파프리카 소스 저나트륨 조림소스간장 설탕 물 청주
834	두부 달걀전	두부 카레가루 밀가루 식용유 청고추 홍고추 소스저나트륨초간장소스간장 식초 설탕 통깨
835	두부선과 저나트륨 겨자 간장소스	두부 표고버섯마른것 쇠고기 애호박 소스 쇠고기양념설탕 참기름 저나트륨겨자간장소스 간장 물 식초 설탕 연겨자
836	두부 튀김 조림	두부 녹말가루 식용유 청피망 홍피망 노랑파프리카 간장 물엿 고추장 참기름 통깨
839	청국장 시래기전	대두 시레기 청고추 홍고추 새우살 밀가루 도토리가루 달걀 식용유
840	카레소스를 얹은 두부 스테이크	두부 애호박 양송이 가지 파프리카 사과 감자 카레가루 식용유 녹말가루 물
843	녹차 파나코타	녹차가루 판젤라틴 설탕 물 생크림 우유 바닐라에센스 통조림단팥용민트용
849	닭고기 바비큐	닭가슴살 홍피망 양파 노랑파프리카 양송이버섯 소스 소스양파 마늘 케첩 홍토마토 설탕 물 이탈리안시즈닝타임 로즈마리 바질 오레가노
851	닭고기 편육	닭고기가슴살 소스 밑간양념요구르트 식용유 조림장간장 설탕 꿀 홍고추마른것 정종 참기름 대파
852	돼지고기 찹쌀부침	돼지고기 등심 젖은 찹쌀가루 소스 밑간양념간장 물엿 무순 레디쉬 깻잎 대파 저나트륨된장소스된장 파인애플 물 홍고추 통마늘
853	등심 배구이	쇠고기등심 배 오이 잣가루 식용유 소스 고기재움장포도주 저나트륨초간장소스간장 사과주스 식초 설탕 와사미
855	버섯소스를 곁들인 돼지 등심 스테이크	돼지등심 양송이버섯 표고버섯 애느타리버섯 파슬리 버터 밀가루 식용유 화이트와인 물
857	쇠고기 감자찜	감자 쇠고기 육수 녹말가루 소스 쇠고기양념파 마늘 청고추 홍고추 간장 설탕 깨소금 참기름 미나리잎
859	양송이버섯과 포도주스를 가미한 등심구이	쇠고기등심 양송이버섯 포도주스 토마토 물 바질 설탕 오레가노 마늘가루 파슬리 월계수잎 로즈마리 통후추 타임
861	케이준 스타일 닭고기 요리	닭가슴살 식용유 파프리카가루 키엔페퍼 양파가루 마늘가루 후추 흰후춧가루 오레가노마른것 타임 마른것 바질마른것 로즈마리마른것 선택황설탕
863	헝가리안 폭찹	돼지등심 물 사워크림 실파 소스양념파프리카가루 머스터드 씨드 코리앤더 씨드 양파즙 마늘가루
865	구운 닭고기 샐러드와 저나트륨 과일 드레싱	닭가슴살 양상추 방울토마토 브로컬리 소스 저나트륨과일드레싱파인애플통조림 키위 사과 양파 올리브오일 레몬즙 설탕
867	돼지고기 수육 부추부침	돼지고기 삼겹살 대파 마늘 생강 통후추 영양부추 양파 무 식초 설탕 소스 매운소스고추기름 간장 발사믹식초 설탕 저나트륨 두부 된장소스두부 된장 청홍고추 물
868	쇠고기 채소볶음	쇠고기 생표고버섯 양송이버섯 애느타리버섯 흰목이버섯 목이버섯 샐러리 홍피망 정종 간장 육수 참기름 식용유 소스쇠고기밑간양념전분 달걀
869	낙지볶음면	낙지 쭈꾸미 생면 배추 양파 느타리버섯 표고버섯 소스 볶음소스청피망 홍피망 청양고추 대파 굴소스 고춧가루 매운고춧가루
871	지중해 소스를 곁들인 도미스테이크	도미 밀가루 식용유 화이트와인 물 파슬리 소스 지중해소스토마토 올리브 케이퍼 양파 마늘 토마토 바질
872	해산물 샤브샤브	새우 시조개 굴 패주 오징어 당귀잎 배추잎 샐러리잎 백만송이버섯 쑥갓 팽이버섯 곤약 단호박 소스 통깨소스다시물 볶은통깨 피넷버터 맛술 식초 타비스코 소스 진간장
873	고등어구이	고등어 밀가루 소스저나트륨발사믹소스간장 올리브오일 발사믹식초 꿀
874	골뱅이무침	골뱅이 양파 대파 오이 미나리 깻잎 소스저나트륨초고추장소스고루 생강즙 사과주스 설탕 고추장 식초 깨소금 참기름 마늘 청고추 홍고추
875	굴 두부 국	굴 두부 마늘 실파 김 새우젓 참기름 다시마 육수 홍고추
876	금태찜	금태 흰후춧가루 청주 생강즙 녹말가루 콩나물 미나리 느타리버섯 홍고추 당근 대파 무 소스 찜소스다시마국물 간장 맛술 식초
877	김자반	김 마늘 생강 통깨 소스양념간장물 간장 설탕 물엿 식초 홍고추
878	꽁치 양념구이	꽁치 밀가루 녹말가루 식용유 소스저나트륨고추장소스토마토케첩 고추장 마늘 생강즙 청고추 홍고추 물엿 간장 물 맛술
879	꽃게강정	꽃게 청고추 홍고추 토마토케첩 마늘 생강 생강즙 찹쌀가루 식용유 소스 매운고추소스매운 고춧가루 맛술 간장 물엿
880	낙지강회	낙지 실파 미역마른것 쌈다시마 당근 소스 고추장 식초 설탕 사과주스 고춧가루
881	낙지 잣소스 냉채	낙지 오이 밤 미나리 배 홍피망 소스 잣소스잣 배즙 흰후춧가루 레몬즙
882	두부 해산물 꼬치구이	두부 소라살 패주 소스마늘올리브유소스마늘 올리브유 바질 방울토마토
883	마 두부 오징어전	두부 마 표고버섯마른것 오징어 녹말 식용유 홍고추 소스 양념장간장 조미술 설탕 식초
884	멸치 찹쌀양념 튀김	멸치중간것 찹쌀가루 식용유 땅콩 소스고추장소스고추장 간장 양파즙 마늘즙 생강즙 맛술 설탕 물엿 식용유 참기름 흑임자 실파
885	미역 물오징어 연두부 초회	연두부큰것 불린미역 물오징어 꽈리고추 소스 저나트륨양념장고추장 간장 물엿 레몬즙 식초 마늘 생강즙 파 참기름 통깨
886	부추조개살 콩비지조림	콩비지 조갯살 부추 당근 소스조림장간장 청주 조미술 설탕 생강즙 마늘
888	연어냉채	훈재연어 흰후춧가루 녹말가루 오이 래디쉬 샐러리 배 소스 저나트륨파인애플소스파인애플 파인애플 통조림 국물 올리브오일 레몬즙 사과 설탕
889	오징어말이 케첩조림	오징어 당근 시금치 달걀 표고버섯마른것 식용유 밀가루 소스 토마토케첩소스마늘 양파 토마토케첩 물
890	오징어보쌈과 저나트륨 된장소스	갑오징어 당근 오이 상추 소스 저나트륨된장소스된장 양파 물 식초 설탕 청고추 홍고추
891	칠리새우	백새우 케첩 대파 녹말가루 밀가루 달걀 완두콩 식용유 참기름 소스 저나트륨칠리소스두반장 고추기름 설탕 마늘 생강 청주 식초
895	아보카도 두부 샐러드	연두부 아보카도작은것 게살냉동 양파 민트 소스 고추냉이 드레싱고추냉이 갠것 간장 레몬즙 올리브유엑스트라버전
897	과일 젤리	젤라틴 자몽주수 귤통조림 파인애플통조림 체리 설탕
900	복숭아샤벳	복숭아 식혜 설탕시럽 민트
903	과일 주스 조림	천도복숭아 자두 체리 산딸기 블루베리 사과 포도 포도주스 설탕
907	감자를 곁들인 야채스튜	양파 청피망 가지 애호박 양송이버섯 마늘 토마토콩카세 감자 올리브오일 닭육수 토마토페이스트 생크림 우유 소금 후추
909	김치 고구마밥	고구마 쌀 물 김치 사과작은것 참기름 마늘 소스간장 국간장 고춧가루 통깨 실파송송썬것 참기름
912	대구 크림스튜	양파 청피망 마늘 청고추 대구살 토마토콩카세 땅콩버터 생크림 파프리카가루 새우 올리브오일 소금 후추
913	대추죽	좁쌀 대추 깐밤 찹쌀가루 물 소금
914	돼지고기 토마토 두부볶음	돼지고기목살 두부 토마토 생강 파 땅콩기름 간장 닭육수 물전분 소금
915	멜론스프	멜론 오렌지 레몬 탄산수 레몬껍질 전분 설탕 선택 멜론자두생크림민트
916	미니버거	양파 브로컬리 당근 바질 달걀 쇠고기 돼지고기갈은것 빵가루 마요네즈 토마토케첩 미니버거빵 양상추 토마토 후추
917	바질 고구마 옥수수빵플렌타	시금치 바질 고구마 옥수수가루플렌타가루 파마산치즈 짜렐라 치즈
918	밥스틱	당근 양파 홍피망 청피망 햄 밥 카레가루 춘권피 치즈 튀김기름 소금
919	버섯 리조또	쌀 양송이버섯 마늘 닭육수 파슬리 타임 올리브오일 파마산치즈 버터 소금 후추
920	버섯 참치 무른밥	불린 쌀 물 참치살 표고버섯 무 양파 참기름 통깨 소금
922	송이 미역국	불린 쌀 양송이버섯 당근 양파 마른미역 참기름 물
923	시금치 배 미음	불린쌀 물 배 시금치 꿀
925	어린이 스시	밥 달걀 삶은것 슬라이스햄 슬라이스치즈 양파 샐러리 캔참치 칵테일새우 날치 마요네즈 초대리 식초 설탕 소금
926	에멘탈 치즈 퐁듀	에멘탈 치즈 마늘 넉맥 닭육수 물전분 바케트빵 방울토마토 키위 소금 후추
927	완두콩 스프	양파 샐러리 베이컨 완두콩 육수 생크림 후추
928	유부 만두찜	유부 미나리 두부 닭가슴살 양파채썬것 당근채썬것 건표고버섯 시금치 소금 깨소금 참기름 초간장 멸치 육수 간장 식초 설탕
929	펜네 파스타 샐러드	펜넬파스타 청피망 홍피망 양파 완두콩 블랙올리브 아스파라거스 토마토콩카세 파마산치즈 소금 바질 페스토 잣 올리브오일 바질 믹서에 갈아줌
930	해산물 옥수수 오븐구이	달걀 새우 바지락 도미살 슬라이스 햄 실파 토마토 애호박 캔 옥수수 슬라이스 치즈 홍고추 바질 올리브오일 마늘 소금
931	향향 볶음밥	감자 오이 목이버섯 닭고기 닭 육수 밥 파 식물성기름 소금
932	흑임자 두부국	불린 쌀 으깬 두부 검은 깨 물 소금
934	과일 요구르트 샐러드	멜론 사과 바나나 오렌지 플레인 요구르트 레몬주스 오렌지주스
935	단호박 스프	버터 마늘 양파 샐러리 생강 닭육수 단호박 고구마 우유 라임주스 생크림 소금 후추
937	새우 완자탕	새우 살 달걀흰자 전분 당면불린것 팽이버섯 부추 홍고추 다시마육수 국간장 마늘 소금
938	생강향의 고구마 크로켓	고구마 생강 생크림 버터 꿀 밀가루 달걀물 빵가루 튀김기름 소금 후추
939	파벳 스프	양파 정사각형 샐러리 정사각형 당근 정사각형 마늘 식용유 닭육수 후추 소금 월계수잎 파벳파스타
940	야채 과일 돌구이	단호박 고구마 오렌지 소금
941	야채볶음	감자 양송이버섯 당근 건목이버섯 산마 참기름 물전분 육수 식용유 소금
942	야채빵	밀가루 베이킹파우더 버터 달걀 설탕 당근 양파 캔옥수수 완두콩 우유 소금
943	영양 달걀찜	죽순 밤 찐 어묵 건표고버섯 은행 새우 잣 달걀 쑥갓 멸치 육수 소금
944	유부 달걀찜	유부 달걀 당근 멸치 육수 간장 설탕 소금
945	찰 어묵찜	찰어묵 새우살 전분 양념 마늘 참기름 깨소금 청주 소금 후추
946	케첩 완자	돼지목살 청경채 케첩 파 생강 전분 소금
947	홍시 생밤 무침	홍시 바나나 생밤 대추 호두
948	고구마 경단	고구마 카스텔라 우유 버터 꿀 건포도
949	두부 깻잎 과자	두부 깻잎 밀가루박력분 베이킹파우더 설탕 달걀 검은깨 소금
950	두부양갱	치자 백련초가루 두부 한천 설탕 물
951	멸치 누룽지과자	밥 잔멸치 통깨 설탕
952	복숭아 화채	오미자 천도복숭아 배 설탕 물 잣 설탕시럼 설탕과 물을 동량으로 하여 중불에서 서서히 녹인다 기호에 맞게 만든다
953	사과 포도주스 조림	사과 포도주스 계피가루 아이스크림
954	홍시 쉐이크	냉동홍시 오미자 물 레몬즙 꿀 민트
956	김치떡	메밀가루 찹쌀가루 밀가루 물 소금 소 김치 오징어 양념 설탕 깨소금 파 마늘 참기름
958	누룽지 피자	잡곡밥흑미 검은콩 피자치즈 양파 청 피망 홍 피망 양송이 햄 캔옥수수 실파 피자소스 마늘 양파 쇠고기 토마토케첩 설탕 간장 소금
959	단호박 새우찜	단호박작은것 잔새우살 두부 건표고버섯 청피망 홍피망 실파 밀가루 마늘 깨소금 참기름 흰후춧가루
960	두부 샌드위치	두부 키위 오렌지 토마토 바나나 사과 꿀 소금 식용유
961	라이스페이퍼 새우롤	새우 홍피망 팽이버섯 숙주 무순 상추 차이브 쌀국수가는것 라이스페이퍼 새콤 달콤 소스 양파 마늘 홍고추 청고추 물전분 물 식초 설탕 고추기름
962	레몬 파슬리 빵가루를 입힌 도미	도미 마늘 빵가루 버터 레몬주스 레몬제스트 파슬리 소금 후추
964	롤피자	밀가루중력분 이스트 따뜻한물 올리브오일 청피망 홍피망 베이컨 양파 양송이 토마토소스 짜렐라 치즈 바질 오레가노 파마산치즈
965	미니 떡갈비	쇠고기살코기 새송이버섯 밀가루 잣가루 떡갈비 양념 간장 배즙 양파즙 꿀 파 마늘 깨소금 참기름
966	배추 달걀볶음	배추 달걀 돼지고기 파 생강 간장 목이버섯 닭육수 물전분 식용유 소금
967	사과와 양파를 곁들인 돼지등심 요리	돼지등심 오레가노마른것 바질마른것 올리브오일 양파 사과 소금 통후추부순것
969	새우 속을 채운 리치와 감자튀김	새우 달걀흰자 실파 물밤 소금 후추 리치캔 감자 전분 튀김기름 소스 올리브오일 양파 고추기름 식초 설탕 소금 후추 전분 레몬껍질
970	생선살 완자 찹쌀 찜	찹쌀 치자 시금치 당근 흰살생선 살생선 양념 달걀흰자 생강즙 소금 흰후춧가루 전분
972	서양식 씨리얼뮤즐리	오트밀 꿀 플레인 요거트 아몬드 사과 건포도 우유 계피가루 바나나 키위
973	수퍼 브리또	양파 할라피뇨 쇠고기갈은것 토마토콩카세 양상추 올리브오일 또띠아인치 아보카도 사워크림 소금 강낭콩 퓨레강낭콩 베이컨 마늘 양파 바질마른것 살사 배 오렌지 레몬주스 파프리카 가루
974	아보카도 달걀 샌드위치	달걀 마요네즈 디존 머스타드 레몬주스 식빵 아보카도 워터크레스 후추
975	록달록 시금치 당근 수제비	시금치 당근 밀가루 물 감자 애호박 실파 멸치육수 마늘 간장
977	인도식만두구이사사	양파 마늘 생강 청고추 새우 버터 레몬주수 생선육수 카레가루 토마토페이스트 달걀물 춘권피 올리브오일
979	중국식 바비큐 폭립	돼지갈비바비큐용 소스 양파작게자른것 마늘 식용유 레드와인식초 황설탕 꿀 데미글라스 토마토케첩 머스타드 우스터소스 케이엔페퍼 소금 후추
980	참깨 오렌지 쇠고기	쇠고기사태 전분 간장 오렌지주스 굴소스 꿀 참깨 식용유 생강 오렌지 파인애플
981	치킨 버거 스테이크	닭가슴살 빵가루 차이브 바질 파슬리 소금 후추양송이 속양파 버터 양송이 빵가루 생크림
982	토마토소스 달걀볶음	달걀 파 토마토소스 설탕 식물성기름 참기름
985	낫토 시래기 라이스전	밥 양파 당근 낫토 시래기불린것 카레가루 파 밀가루 달걀 식용유
986	나스와 샐러드	달걀 완두콩 오이 토마토 레드어니언 로메인 홍고추 블랙올리브 바질 캔참치 드래싱 올리브오일 레드와인식초 디존 머스타드 마늘 설탕
987	다시마전	다시마 영양부추 청고추 홍고추 새우살 밀가루 물 소금멸치액적소스멸치액젓 물 설탕 깨소금 고춧가루 실파
988	듬옥수수	옥수수 잣 청피망 당근 닭고기 식용유 물전분
989	버섯 들깨탕	느타리버섯 생표고버섯 팽이버섯 새송이벗서 우엉 조랭이떡 들깨 물 들기름 소금
990	산마드래싱과 실곤약 샐러드	그린비타민 치커리 배 포도주스 훈제오리가슴살 실곤약 산마드래싱 산마 우유 레몬주스 오렌지주스 호두
991	산호두부	두부 돼지고기 당근 고추기름 완두콩 파 생강 물전분
992	섭산삼	더덕 젖은 찹쌀가루 가루녹차 백년초 가루 설탕 꿀 튀김기름
993	시금치 돼지고기 볶음	돼지고기살코기 물전분 시금치 부추 간장 파 생강 식용유
994	발사믹과 로즈마리로 향을 낸 오븐구이 야채	단호박 당근 비트 고구마 꿀 발사믹식초 로즈마리 소금 후추
995	종이에 싸서 구운 도미파필로테	도미살 후추 샐러리 채친것 당근 채친것 대파채친것 양파채친것 피망채친것 브러컬리 레몬제스트 팽이버섯 버터 유산지 허브버터 버터 파마산치즈 통후추 오레가노 마늘 양파
997	호두 사과 샐러드	사과 샐러리 마요네즈 레몬주스 식초 호두 건포도 소금
998	고구마란	고구마 꿀 계피가루 대추 호박씨
999	과일 파이	오렌지 사과 설탕 물전분 버터 식빵
1000	수삼당근정과	당근 수삼 꿀 물 계피가루
1001	식혜 팥빙수	팥 찹쌀가루 쑥가루 물 식혜
1002	야채칩	연근 고구마 감자 단호박 당근 소금
1003	잡곡강정	검은콩튀밥 쌀튀밥 메닐튀밥 물엿 설탕 물
1004	잣 호두 강정	잣 호두 대추 통깨 시럽 물엿 설탕
1005	현미 크레이프	현미가루 밀가루 우유 참기름 소금 팥소팥 설탕 당근조림 당근 설탕 물
1006	감자 주먹밥	감자 밥 당근 시금치 잔멸치 삶은 달걀 노른자 검은깨 흰깨 밥양념 참기름 소금
1007	고기완두조림	돼지고기살코기 완두콩 물 육수 설탕 소금 전분 식용유
1010	니고랭	달걀물 식용유 홍고추 마늘 닭가슴살 새우 양파 청경채 스파게티면 방울토마토 버터 소야소스 간장 발사믹식초 굴소스 꿀
1012	돼지갈비 볶음	돼지갈비 굵은소금 마늘 생강 대파 토마토 양념장 간장 물 식초 설탕 통깨 참기름
1013	미니 그라탕	사과 참마 레몬주스 건포도 슬라이스아몬드 설탕 소스 참마 두유 물엿 밀가루 올리브오일
1014	밀라노 스타일 포크 커틀렛	돼지등심 밀가루 달걀 빵가루 바질 건타임 버터 식용유 레몬 파마산치즈 후추
1015	바지락 볶음면	바지락살 칵테일새우 청고추 홍고추 대파 마늘 생강 칼국수면 식용유 물전분 간장소스멸치육수 간장 설탕 양파즙 파 마늘 참기름 깨소금
1016	밥 샌드위치	맛살 마요네즈 오이 밥 치즈슬라이스 검은깨
1017	버섯을 넣은 가지 라자냐	돼지고기 느타리벗서 표고버섯 새송이버섯 가지 밀가루 버터 우유 파마산치즈 짜렐라 치즈 토마토소스 바질 오레가노 빵가루
1019	생선찜 채소말이	흰살 생선 죽순 청피망 홍피망 건표고버섯 전분 치즈슬라이스 참기름 흰후춧가루 소스 잣 물 설탕 레몬즙 간장 소금
1020	쇠고기말이 쌈밥	쇠고기살코기 당근 오이피클 양파 깻잎 밥 전분 식용유 밥밑간깨소금 참기름 쇠고기밑간 간장 청주 참기름
1021	스테이크 샐러드	쇠고기등심 로메인 워터크레스 래디쉬 방울토마토 레드어니언 발사믹식초 올리브오일 소금 통후추
1023	씨앗죽	쌀 참깨 통아몬드 땅콩 호박씨 물
1024	오븐에 구운 또띠아 칩과 아보카도 딥	또띠아 양파 할라피뇨 마늘 아보카도 라임주스 토마토
1026	참치 쇠고기 양상추 쌈	쇠고기 밥 상추 캔참치 밑간 후추 달걀흰자 간장 설탕 전분 참치양념 마요네즈 양파 샐러리 소금 설탕
1027	치킨 쇠고기 땅콩소스 꼬치	닭가슴살 쇠고기 등심 간장 카레가루 땅콩버터 참기름 올리브오일 설탕 생강
1028	커리향이 들어간 치킨샐러드 샌드위치	닭가슴살 올리브오일 마요네즈 식빵 아몬드 건포도 카레가루 레몬주스 바질 소금 후추
1030	클럽 샌드위치	식빵 마요네즈 삶은달걀 양상추 닭가슴살 토마토 치즈슬라이스 슬라이스햄 베이컨 소금 후추
1031	토마토 야채 오븐구이	감자 고구마 오릴브오일 홍피망 당근 후추 소금 레드어니언 토마토 돼지호박 파마산치즈 빵가루 바질
1034	가지볶음	가지 생강 고추장 물엿 통깨 들기름
1036	고등어 강정	고등어 전분 땅콩 튀김기름 고등어 밑 양념생강즙 청주 소금 조림장간장 고추장 토마토케첩 설탕 물엿 물
1037	꽃게볶음	꽃게 청주 전분 실파 참기름 건고추 마늘 생강 소금 후춧가루 양념장간장 청주 설탕 물
1038	다시마칩	다시마 꿀 참께 오트밀
1039	브로콜리 쇠고기 볶음	브로콜리 쇠고기안심 물전분 당근 마늘 간장 생강 설탕 식물성기름 소금
1040	새우살을 채운 두부 스프미네스트로네	새우 두부 당근 돼지호박 참기름 생강 양파 마늘 닭육수 굴소스 간장 소금새우 마리네이션달걀흰자 전분
1042	시저 샐러드	상추로메인 마늘 앤쵸비 후추 달걀노른자 레몬주스 올리브오일 파마산 치즈 도미살 밀가루 달걀물 빵가루 크루퉁파슬리 오레가노 식빵 소금 후추
1043	연두부 무순 냉국	연두부 무순 대파 청고추 홍고추 쑥갓 통깨 소금냉국 국물 다시마육수 간장 맛술 식초 설탕
1045	차가운 당근 수프	당근 버터 양파 생강 마늘 야채육수 오렌지주스 생크림 당근주스 소금
1046	태국식 불고기 샐러드	쇠고기 애호박 토마토 가지 양파 새송이버섯 그린 샐러드불고기 드래싱 풋고추 홍고추 마늘 고춧가루 레몬주스 타바스코 카레오일올리브오일 로즈마리 민트 카레가루
1047	팽이버섯 야채볶음	팽이버섯 청경채 참기름 식용유 물전분
1049	건강 마늘 꿀환	마늘 잣 꿀 검은깨 카스텔라가루
1051	과일 샐러드 또띠아	자몽 오렌지 키위 사과 플레인 요구르트 꿀 또띠아
1054	수박 화채	찹쌀가루 물 수박 팥 설탕
1055	우유 생강차	우유 생강 꿀 깨소금 계피가루
1056	레몬 들깨 소스를 품은 떡꼬치	떡꼬치 쌀떡 호두  잣  식용유  꼬치용 꼬치 레몬 들깨 소스 들깨가루  두유  꿀  물  참기름  레몬즙  검은깨 
1057	누룽지 요거트 파르페	누룽지 밥 공기 요거트파르페 오렌지 사과 요거트 블루베리 
1058	자색고구마 호떡	반죽 찹쌀 자색고구마 현미휴 물 황설탕 호떡소 검정깨 땅콩 호두각 찹쌀가루 계피가루
1059	청국장지짐 케일쌈밥	돼지고기 청국장 밥 케일 멸치 무 양파 사과
1060	마늘 불고기 덮밥	소고기불고기용 쌀 새송이버섯 당근 양파 대파 마늘 배 진간장
1061	잡곡강정밥	잡곡 찹쌀 호두 은행 밤 대추고 꿀 간장
1062	함박스테이크 볼 밥	소고기 돼지고기 가래떡 양파 새송이버섯 파프리카 사과 배 고추장 파 마늘 간장 청주 참기름
1063	곤드레 밥버거	쌀 찹쌀 흑미 곤드레나물 파프리카 양상추 감자 양파 깻잎 바나나 김 호두 사과 밀가루 빵가루 마요네즈 된장 식초 간장 참기름 들기름
1064	대추닭살리조또	닭고기가슴살 쌀 양파 표고버섯 대추 당근 피망 치즈 우유 마늘
1065	먹골배 카레주먹밥	쌀 카레가루 묵은지 양파 애호박 가지 참치 마요네즈
1066	신호등 통통이어린이 곤약삼색주먹밥	소고기 곤약미 쌀 시금치 당근 멸치 대파 달걀 간장 참기름 올리고당
1067	양배추롤참치두부쌈장	밥 양배추 참치캔 두부 양파 파 마늘 된장 고추장 매실청 참기름 깨 물
1068	파인애플떡갈비	소고기갈빗살 파인애플 양파 표고버섯 전분 파 마늘 진간장 설탕 참기름
1069	건강가지말이참깨마요소스	가지 단호박 삼색파프리카 당근 사과 배 무순 청양고추 마요네즈 참깨 꿀
1070	순창 고추장 두부강정	소고기불고기용 두부 새송이버섯 당근 양파 마늘 생강가루 고추장 튀김가루 전분 맥주 간장 꿀 케첩 올리고당
1071	곤약 백김치 말이	오징어 곤약 백김치 삼색파프리카 부추 청주 통후추 월계수잎
1072	묵은지비프롤	소고기불고기용 묵은지 팽이버섯 아스파라거스 삼색파프리카 참나물 달걀 전분 올리브오일 매실액 레몬즙
1073	바나나를 감싼 일본식 달걀말이	달걀 바나나 전분
1074	그린커리	닭고기가슴살 그린커리 페이스트 코코넛밀크 당근 가지 양송이버섯 레몬그라스 마늘
1075	현미 고구마 아란치니	고구마 현미밥 새송이버섯 당근 양파 달걀 파슬리 빵가루 밀가루 식용유
1076	유자 치킨 꿔바로우	닭고기가슴살 생강 녹말 찹쌀가루 유자청 전분 꿀 식초 식용유 물
1077	펌킨크로켓	단호박 양파 당근 참나물 달걀 짜렐라치즈 빵가루 식용유
1078	이태리튀밥	쌀 방울토마토 바질 옥수수 달걀 빵가루 파마산치즈가루 생짜렐라치즈 버터 올리브오일
1079	현미 입은 미트볼	소고기 돼지고기 대추 배 현미튀밥 밀가루 양파 마늘 쪽파 생강 간장 참기름 참깨
1080	시금치 볶음 쌀국수	새우 쌀국수 시금치 달걀 메추리 마늘 굴소스 식초 땅콩 전분 청주 고추기름 올리브오일
1081	새우채소꼬치구이	새우 단호박 양배추 방울토마토 대파 후추
1082	영유아를 위한 고소한 닭꼬치	닭고기가슴살 우유 아몬드슬라이스 참깨 흑임자
1083	얌얌 맛있게타	바게트 새송이버섯 표고버섯 방울토마토 바질 생짜렐라치즈 마늘 올리브오일
1084	오 푸룻한 뿌리채소	우엉 연근 오렌지 요거트 크랜베리 땅콩 호두 레디쉬 식초 머스터드 얼음
1085	연근고구마샌드위치	연근 고구마 견과류 튀김가루 백년초가루 달걀 식용유 식초
1086	파프리카깍두기어린이용	무 파프리카 사과 현미 실파 멸치 마늘 멸치액젓 올리고당 천일염
1087	과일 김치	사과 배 복숭아 토마토 치커리 고춧가루 마늘 깨 참기름
1088	오이 짱아지 무침	오이 고춧가루 매실액 양파 파 마늘 참기름
1089	비트 배추피클	비트 배추 무 사과 당근 식초 설탕 월계수잎 통후추 물
1090	오징어와사비마요무침	진미채 유자청 마요네즈 와사비 레몬즙 깨
1091	삼색 버터롤	홍시 호두 곶감 대추 블루베리 크랜베리 강력분 꿀 버터 달걀 이스트 탈지분유 제빵개량제 물
1092	고구마빵과일잼	고구마 제철과일 달걀 우유 크랜베리 아몬드 호두 올리고당 레몬즙 올리브오일
1093	감말랭이 찰빵	감말랭이 쌀가루 보릿가루 밀가루 고구마 냉동딸기 흑임자 식용유
1094	바나나 속 달걀빵	달걀 바나나 밀가루 우유 베이킹파우더 버터 물
1095	두부빼빼로	두부 포도 호두 검은깨 식빵 밀가루 계피가루 꿀 식용유 물
1096	땅콩호박 타르트	땅콩호박 아몬드가루 버터 박력분 요거트 달걀 사과 전분 호두
1097	고구마 바나나 무스	고구마 바나나 달걀 크림치즈 우유 생크림 딸기잼 젤라틴 바닐라빈 올리고당
1098	단호박치즈스틱	단호박 새우살 삼색파프리카 양파 옥수수 짜렐라치즈 춘권피 생크림 식용유
1099	크랜베리 샤브레 쿠키	크랜베리 슈가파우더 박력분 아몬드가루 백년초가루 우유 버터
1100	생과일 타르트	박력분 버터 달걀 아몬드가루 꿀 생크림 블랙초콜릿 키위 블루베리 체리
1101	당 떨어진 마들렌	대추고 대추 당근퓨레 녹차가루 팥앙금 박력분 꿀 버터 달걀 베이킹파우더
1102	삼색 머핀	당근 시금치 사과 호두 크랜베리 박력분 꿀 버터 달걀 베이킹소다 베이킹파우더 물
1103	바나나 스틱	바나나 중력분 옥수수가루 아몬드가루 베이킹파우더 버터 달걀 크랜베리 땅콩 흑임자
